attribute,action_taken,moderator_id,business_id,BizE_link,Admin_link,biz_country,source_type,source_via,time_created,time_acted,time_created_readable,time_acted_readable
AddBusiness,approve,981,78279745,https://bize.admin.yelp.com/biz/78279745,https://admin.yelp.com/biz_edit/78279745,US,admin_user,admin_site,1683232822,1683232827,,
AddBusiness,approve,981,78279741,https://bize.admin.yelp.com/biz/78279741,https://admin.yelp.com/biz_edit/78279741,US,admin_user,admin_site,1683232821,1683232825,,
AddBusiness,approve,981,78279742,https://bize.admin.yelp.com/biz/78279742,https://admin.yelp.com/biz_edit/78279742,US,admin_user,admin_site,1683232821,1683232825,,
AddBusiness,approve,981,78279740,https://bize.admin.yelp.com/biz/78279740,https://admin.yelp.com/biz_edit/78279740,US,admin_user,admin_site,1683232820,1683232825,,
AddBusiness,approve,981,78279747,https://bize.admin.yelp.com/biz/78279747,https://admin.yelp.com/biz_edit/78279747,US,admin_user,admin_site,1683232824,1683232825,,
AddBusiness,approve,981,78279738,https://bize.admin.yelp.com/biz/78279738,https://admin.yelp.com/biz_edit/78279738,US,admin_user,admin_site,1683232820,1683232824,,
AddBusiness,approve,981,78279737,https://bize.admin.yelp.com/biz/78279737,https://admin.yelp.com/biz_edit/78279737,US,admin_user,admin_site,1683232820,1683232823,,
AddBusiness,approve,981,78279746,https://bize.admin.yelp.com/biz/78279746,https://admin.yelp.com/biz_edit/78279746,US,admin_user,admin_site,1683232823,1683232824,,
AddBusiness,approve,981,78279735,https://bize.admin.yelp.com/biz/78279735,https://admin.yelp.com/biz_edit/78279735,US,admin_user,admin_site,1683232819,1683232823,,
AddBusiness,approve,981,78279736,https://bize.admin.yelp.com/biz/78279736,https://admin.yelp.com/biz_edit/78279736,US,admin_user,admin_site,1683232819,1683232824,,
AddBusiness,approve,981,78279743,https://bize.admin.yelp.com/biz/78279743,https://admin.yelp.com/biz_edit/78279743,US,admin_user,admin_site,1683232822,1683232823,,
AddBusiness,approve,981,78279733,https://bize.admin.yelp.com/biz/78279733,https://admin.yelp.com/biz_edit/78279733,US,admin_user,admin_site,1683232818,1683232823,,
AddBusiness,approve,981,78279744,https://bize.admin.yelp.com/biz/78279744,https://admin.yelp.com/biz_edit/78279744,US,admin_user,admin_site,1683232822,1683232823,,
AddBusiness,approve,981,78279739,https://bize.admin.yelp.com/biz/78279739,https://admin.yelp.com/biz_edit/78279739,US,admin_user,admin_site,1683232820,1683232821,,
AddBusiness,approve,981,78279734,https://bize.admin.yelp.com/biz/78279734,https://admin.yelp.com/biz_edit/78279734,US,admin_user,admin_site,1683232818,1683232820,,
AddBusiness,approve,981,78279732,https://bize.admin.yelp.com/biz/78279732,https://admin.yelp.com/biz_edit/78279732,US,admin_user,admin_site,1683232818,1683232819,,
