attribute,action_taken,moderator_id,business_id,BizE_link,Admin_link,biz_country,source_type,source_via,time_created,time_acted,time_created_readable,time_acted_readable
AddBusiness,approve,16501,78275250,https://bize.admin.yelp.com/biz/78275250,https://admin.yelp.com/biz_edit/78275250,US,admin_user,admin_site,1683150618,1683150622,,
AddBusiness,approve,2275,78275465,https://bize.admin.yelp.com/biz/78275465,https://admin.yelp.com/biz_edit/78275465,US,admin_user,admin_site,1683154010,1683154014,,
AddBusiness,approve,2275,78275469,https://bize.admin.yelp.com/biz/78275469,https://admin.yelp.com/biz_edit/78275469,US,admin_user,admin_site,1683154014,1683154015,,
AddBusiness,approve,2275,78275464,https://bize.admin.yelp.com/biz/78275464,https://admin.yelp.com/biz_edit/78275464,US,admin_user,admin_site,1683154010,1683154014,,
AddBusiness,approve,2275,78275468,https://bize.admin.yelp.com/biz/78275468,https://admin.yelp.com/biz_edit/78275468,US,admin_user,admin_site,1683154012,1683154013,,
AddBusiness,approve,2275,78275456,https://bize.admin.yelp.com/biz/78275456,https://admin.yelp.com/biz_edit/78275456,US,admin_user,admin_site,1683154009,1683154013,,
AddBusiness,approve,2275,78275460,https://bize.admin.yelp.com/biz/78275460,https://admin.yelp.com/biz_edit/78275460,US,admin_user,admin_site,1683154010,1683154014,,
AddBusiness,approve,2275,78275467,https://bize.admin.yelp.com/biz/78275467,https://admin.yelp.com/biz_edit/78275467,US,admin_user,admin_site,1683154010,1683154011,,
AddBusiness,approve,2275,78275466,https://bize.admin.yelp.com/biz/78275466,https://admin.yelp.com/biz_edit/78275466,US,admin_user,admin_site,1683154010,1683154011,,
AddBusiness,approve,2275,78275463,https://bize.admin.yelp.com/biz/78275463,https://admin.yelp.com/biz_edit/78275463,US,admin_user,admin_site,1683154010,1683154011,,
AddBusiness,approve,2275,78275462,https://bize.admin.yelp.com/biz/78275462,https://admin.yelp.com/biz_edit/78275462,US,admin_user,admin_site,1683154010,1683154011,,
AddBusiness,approve,2275,78275458,https://bize.admin.yelp.com/biz/78275458,https://admin.yelp.com/biz_edit/78275458,US,admin_user,admin_site,1683154009,1683154011,,
AddBusiness,approve,2275,78275459,https://bize.admin.yelp.com/biz/78275459,https://admin.yelp.com/biz_edit/78275459,US,admin_user,admin_site,1683154010,1683154011,,
AddBusiness,approve,2275,78275457,https://bize.admin.yelp.com/biz/78275457,https://admin.yelp.com/biz_edit/78275457,US,admin_user,admin_site,1683154009,1683154010,,
AddBusiness,approve,2275,78275461,https://bize.admin.yelp.com/biz/78275461,https://admin.yelp.com/biz_edit/78275461,US,admin_user,admin_site,1683154010,1683154011,,
AddBusiness,approve,2275,78275455,https://bize.admin.yelp.com/biz/78275455,https://admin.yelp.com/biz_edit/78275455,US,admin_user,admin_site,1683154008,1683154009,,
AddBusiness,approve,16501,78275243,https://bize.admin.yelp.com/biz/78275243,https://admin.yelp.com/biz_edit/78275243,US,admin_user,admin_site,1683150599,1683150601,,
AddBusiness,approve,16501,78275247,https://bize.admin.yelp.com/biz/78275247,https://admin.yelp.com/biz_edit/78275247,US,admin_user,admin_site,1683150612,1683150616,,
AddBusiness,approve,16501,78275245,https://bize.admin.yelp.com/biz/78275245,https://admin.yelp.com/biz_edit/78275245,US,admin_user,admin_site,1683150603,1683150604,,
AddBusiness,approve,16501,78275281,https://bize.admin.yelp.com/biz/78275281,https://admin.yelp.com/biz_edit/78275281,US,admin_user,admin_site,1683151147,1683151151,,
AddBusiness,approve,5318,78275159,https://bize.admin.yelp.com/biz/78275159,https://admin.yelp.com/biz_edit/78275159,US,admin_user,admin_site,1683149574,1683149579,,
AddBusiness,approve,5318,78275158,https://bize.admin.yelp.com/biz/78275158,https://admin.yelp.com/biz_edit/78275158,US,admin_user,admin_site,1683149570,1683149570,,
AddBusiness,approve,10038,78274845,https://bize.admin.yelp.com/biz/78274845,https://admin.yelp.com/biz_edit/78274845,US,admin_user,admin_site,1683145029,1683145033,,
