attribute,action_taken,moderator_id,business_id,BizE_link,Admin_link,biz_country,source_type,source_via,time_created,time_acted,time_created_readable,time_acted_readable
AddBusiness,approve,1515,78303545,https://bize.admin.yelp.com/biz/78303545,https://admin.yelp.com/biz_edit/78303545,US,user,main_site,1683738820,1683738856,,
AddBusiness,approve,8754,78303726,https://bize.admin.yelp.com/biz/78303726,https://admin.yelp.com/biz_edit/78303726,US,partner,data_ingestion,1683740885,1683742058,,
AddBusiness,approve,7633,78303184,https://bize.admin.yelp.com/biz/78303184,https://admin.yelp.com/biz_edit/78303184,US,user,main_site,1683734480,1683734839,,
AddBusiness,approve,10079,78303365,https://bize.admin.yelp.com/biz/78303365,https://admin.yelp.com/biz_edit/78303365,US,user,main_site,1683736816,1683737196,,
AddBusiness,approve,21063,78303127,https://bize.admin.yelp.com/biz/78303127,https://admin.yelp.com/biz_edit/78303127,US,user,main_site,1683733766,1683734494,,
AddBusiness,approve,22053,78303462,https://bize.admin.yelp.com/biz/78303462,https://admin.yelp.com/biz_edit/78303462,US,user,main_site,1683737992,1683739281,,
AddBusiness,approve,22054,78303323,https://bize.admin.yelp.com/biz/78303323,https://admin.yelp.com/biz_edit/78303323,US,logged_out_user,biz_site,1683736143,1683742914,,
AddBusiness,approve,3116,78303205,https://bize.admin.yelp.com/biz/78303205,https://admin.yelp.com/biz_edit/78303205,US,user,main_site,1683734727,1683734758,,
AddBusiness,approve,7633,78303284,https://bize.admin.yelp.com/biz/78303284,https://admin.yelp.com/biz_edit/78303284,US,logged_out_user,biz_site,1683735782,1683736426,,
AddBusiness,approve,22053,78303306,https://bize.admin.yelp.com/biz/78303306,https://admin.yelp.com/biz_edit/78303306,US,logged_out_user,biz_site,1683735930,1683736658,,
AddBusiness,approve,22059,78303294,https://bize.admin.yelp.com/biz/78303294,https://admin.yelp.com/biz_edit/78303294,US,logged_out_user,biz_site,1683735830,1683736376,,
AddBusiness,approve,22053,78302377,https://bize.admin.yelp.com/biz/78302377,https://admin.yelp.com/biz_edit/78302377,CA,logged_out_user,biz_site,1683722551,1683744177,,
AddBusiness,reject,21063,78300131,https://bize.admin.yelp.com/biz/78300131,https://admin.yelp.com/biz_edit/78300131,US,logged_out_user,biz_site,1683674455,1683736081,,
AddBusiness,approve,8754,78303008,https://bize.admin.yelp.com/biz/78303008,https://admin.yelp.com/biz_edit/78303008,US,logged_out_user,biz_site,1683732473,1683736164,,
AddBusiness,approve,4050,78303893,https://bize.admin.yelp.com/biz/78303893,https://admin.yelp.com/biz_edit/78303893,US,user,main_site,1683743066,1683743443,,
AddBusiness,approve,22053,78303138,https://bize.admin.yelp.com/biz/78303138,https://admin.yelp.com/biz_edit/78303138,US,logged_out_user,biz_site,1683733982,1683734516,,
AddBusiness,approve,22054,78300409,https://bize.admin.yelp.com/biz/78300409,https://admin.yelp.com/biz_edit/78300409,US,logged_out_user,biz_site,1683678609,1683733204,,
AddBusiness,approve,2588,78304082,https://bize.admin.yelp.com/biz/78304082,https://admin.yelp.com/biz_edit/78304082,US,user,main_site,1683745008,1683745039,,
AddBusiness,approve,8754,78303166,https://bize.admin.yelp.com/biz/78303166,https://admin.yelp.com/biz_edit/78303166,US,logged_out_user,biz_site,1683734235,1683741420,,
AddBusiness,approve,8754,78303525,https://bize.admin.yelp.com/biz/78303525,https://admin.yelp.com/biz_edit/78303525,US,user,main_site,1683738572,1683739329,,
AddBusiness,approve,21063,78303341,https://bize.admin.yelp.com/biz/78303341,https://admin.yelp.com/biz_edit/78303341,US,user,main_site,1683736429,1683737707,,
AddBusiness,approve,10088,78303030,https://bize.admin.yelp.com/biz/78303030,https://admin.yelp.com/biz_edit/78303030,US,user,main_site,1683732740,1683733067,,
AddBusiness,approve,9397,78303303,https://bize.admin.yelp.com/biz/78303303,https://admin.yelp.com/biz_edit/78303303,US,user,main_site,1683735893,1683736212,,
