attribute,action_taken,moderator_id,business_id,BizE_link,Admin_link,biz_country,source_type,source_via,time_created,time_acted,time_created_readable,time_acted_readable
AddBusiness,approve,21006,78284448,https://bize.admin.yelp.com/biz/78284448,https://admin.yelp.com/biz_edit/78284448,US,user,main_site,1683322174,1683327425,,
AddBusiness,approve,14534,78284359,https://bize.admin.yelp.com/biz/78284359,https://admin.yelp.com/biz_edit/78284359,US,logged_out_user,biz_site,1683320758,1683326406,,
AddBusiness,approve,22054,78284670,https://bize.admin.yelp.com/biz/78284670,https://admin.yelp.com/biz_edit/78284670,US,user,main_site,1683326653,1683327529,,
AddBusiness,approve,8946,78283044,https://bize.admin.yelp.com/biz/78283044,https://admin.yelp.com/biz_edit/78283044,US,user,main_site,1683301969,1683314994,,
AddBusiness,approve,21006,78284469,https://bize.admin.yelp.com/biz/78284469,https://admin.yelp.com/biz_edit/78284469,US,user,main_site,1683322495,1683323077,,
AddBusiness,approve,21015,78283924,https://bize.admin.yelp.com/biz/78283924,https://admin.yelp.com/biz_edit/78283924,US,user,main_site,1683314547,1683315009,,
AddBusiness,approve,21006,78284474,https://bize.admin.yelp.com/biz/78284474,https://admin.yelp.com/biz_edit/78284474,US,logged_out_user,biz_site,1683322579,1683326274,,
AddBusiness,approve,3047,78284273,https://bize.admin.yelp.com/biz/78284273,https://admin.yelp.com/biz_edit/78284273,US,user,main_site,1683319812,1683319887,,
AddBusiness,approve,3047,78284268,https://bize.admin.yelp.com/biz/78284268,https://admin.yelp.com/biz_edit/78284268,US,user,main_site,1683319780,1683319884,,
AddBusiness,approve,22054,78283624,https://bize.admin.yelp.com/biz/78283624,https://admin.yelp.com/biz_edit/78283624,US,user,main_site,1683311233,1683319889,,
AddBusiness,approve,21806,78284194,https://bize.admin.yelp.com/biz/78284194,https://admin.yelp.com/biz_edit/78284194,US,user,main_site,1683318577,1683319079,,
AddBusiness,approve,21006,78284407,https://bize.admin.yelp.com/biz/78284407,https://admin.yelp.com/biz_edit/78284407,US,logged_out_user,biz_site,1683321528,1683323861,,
AddBusiness,approve,8754,78284204,https://bize.admin.yelp.com/biz/78284204,https://admin.yelp.com/biz_edit/78284204,US,logged_out_user,biz_site,1683318719,1683319794,,
AddBusiness,approve,14174,78283470,https://bize.admin.yelp.com/biz/78283470,https://admin.yelp.com/biz_edit/78283470,US,user,main_site,1683308744,1683319791,,
AddBusiness,approve,8754,78282480,https://bize.admin.yelp.com/biz/78282480,https://admin.yelp.com/biz_edit/78282480,US,logged_out_user,biz_site,1683292458,1683321146,,
AddBusiness,approve,2586,78284190,https://bize.admin.yelp.com/biz/78284190,https://admin.yelp.com/biz_edit/78284190,US,user,main_site,1683318524,1683318647,,
AddBusiness,approve,2586,78284091,https://bize.admin.yelp.com/biz/78284091,https://admin.yelp.com/biz_edit/78284091,US,user,main_site,1683316830,1683316862,,
AddBusiness,approve,10185,78284097,https://bize.admin.yelp.com/biz/78284097,https://admin.yelp.com/biz_edit/78284097,US,user,main_site,1683316890,1683316930,,
AddBusiness,approve,8946,78283111,https://bize.admin.yelp.com/biz/78283111,https://admin.yelp.com/biz_edit/78283111,US,user,main_site,1683303231,1683314247,,
AddBusiness,approve,22053,78283105,https://bize.admin.yelp.com/biz/78283105,https://admin.yelp.com/biz_edit/78283105,US,logged_out_user,biz_site,1683303143,1683326820,,
