attribute,action_taken,moderator_id,business_id,BizE_link,Admin_link,biz_country,source_type,source_via,time_created,time_acted,time_created_readable,time_acted_readable
AddBusiness,approve,3047,78323224,https://bize.admin.yelp.com/biz/78323224,https://admin.yelp.com/biz_edit/78323224,US,user,main_site,1684165908,1684168799,,
AddBusiness,approve,3047,78323220,https://bize.admin.yelp.com/biz/78323220,https://admin.yelp.com/biz_edit/78323220,US,user,main_site,1684165860,1684168796,,
AddBusiness,approve,22053,78323178,https://bize.admin.yelp.com/biz/78323178,https://admin.yelp.com/biz_edit/78323178,US,user,main_site,1684165325,1684166031,,
AddBusiness,approve,21063,78323643,https://bize.admin.yelp.com/biz/78323643,https://admin.yelp.com/biz_edit/78323643,US,user,main_site,1684171234,1684171923,,
AddBusiness,approve,1515,78323945,https://bize.admin.yelp.com/biz/78323945,https://admin.yelp.com/biz_edit/78323945,CA,user,main_site,1684175116,1684175146,,
AddBusiness,approve,21006,78323442,https://bize.admin.yelp.com/biz/78323442,https://admin.yelp.com/biz_edit/78323442,US,user,main_site,1684168900,1684170477,,
AddBusiness,approve,21006,78323347,https://bize.admin.yelp.com/biz/78323347,https://admin.yelp.com/biz_edit/78323347,US,logged_out_user,biz_site,1684167431,1684170475,,
AddBusiness,approve,21006,78323016,https://bize.admin.yelp.com/biz/78323016,https://admin.yelp.com/biz_edit/78323016,US,user,main_site,1684163223,1684163792,,
AddBusiness,approve,14857,78323656,https://bize.admin.yelp.com/biz/78323656,https://admin.yelp.com/biz_edit/78323656,US,user,main_site,1684171390,1684171750,,
AddBusiness,approve,9077,78322579,https://bize.admin.yelp.com/biz/78322579,https://admin.yelp.com/biz_edit/78322579,US,logged_out_user,biz_site,1684155308,1684169414,,
AddBusiness,approve,19897,78322961,https://bize.admin.yelp.com/biz/78322961,https://admin.yelp.com/biz_edit/78322961,US,user,main_site,1684162407,1684163426,,
AddBusiness,approve,22053,78324001,https://bize.admin.yelp.com/biz/78324001,https://admin.yelp.com/biz_edit/78324001,US,logged_out_user,biz_site,1684175959,1684176641,,
AddBusiness,approve,21006,78323468,https://bize.admin.yelp.com/biz/78323468,https://admin.yelp.com/biz_edit/78323468,US,logged_out_user,biz_site,1684169157,1684170051,,
AddBusiness,approve,21063,78324011,https://bize.admin.yelp.com/biz/78324011,https://admin.yelp.com/biz_edit/78324011,US,user,main_site,1684176113,1684176598,,
AddBusiness,approve,1515,78323063,https://bize.admin.yelp.com/biz/78323063,https://admin.yelp.com/biz_edit/78323063,US,user,main_site,1684163763,1684163872,,
AddBusiness,approve,9077,78323478,https://bize.admin.yelp.com/biz/78323478,https://admin.yelp.com/biz_edit/78323478,US,logged_out_user,biz_site,1684169275,1684170546,,
AddBusiness,approve,21063,78323261,https://bize.admin.yelp.com/biz/78323261,https://admin.yelp.com/biz_edit/78323261,US,logged_out_user,biz_site,1684166318,1684167089,,
AddBusiness,approve,22054,78323548,https://bize.admin.yelp.com/biz/78323548,https://admin.yelp.com/biz_edit/78323548,US,logged_out_user,biz_site,1684170015,1684171524,,
AddBusiness,approve,16922,78323102,https://bize.admin.yelp.com/biz/78323102,https://admin.yelp.com/biz_edit/78323102,US,logged_out_user,biz_site,1684164343,1684167009,,
AddBusiness,approve,14857,78323878,https://bize.admin.yelp.com/biz/78323878,https://admin.yelp.com/biz_edit/78323878,US,user,main_site,1684174086,1684174761,,
AddBusiness,approve,3047,78323012,https://bize.admin.yelp.com/biz/78323012,https://admin.yelp.com/biz_edit/78323012,US,user,main_site,1684163198,1684163224,,
AddBusiness,approve,22059,78322905,https://bize.admin.yelp.com/biz/78322905,https://admin.yelp.com/biz_edit/78322905,CA,logged_out_user,biz_site,1684161388,1684164057,,
AddBusiness,approve,14857,78323889,https://bize.admin.yelp.com/biz/78323889,https://admin.yelp.com/biz_edit/78323889,US,user,main_site,1684174262,1684174794,,
AddBusiness,approve,22054,78323034,https://bize.admin.yelp.com/biz/78323034,https://admin.yelp.com/biz_edit/78323034,US,logged_out_user,biz_site,1684163389,1684167443,,
