attribute,action_taken,moderator_id,business_id,BizE_link,Admin_link,biz_country,source_type,source_via,time_created,time_acted,time_created_readable,time_acted_readable
AddBusiness,approve,9364,78299546,https://bize.admin.yelp.com/biz/78299546,https://admin.yelp.com/biz_edit/78299546,US,admin_user,admin_site,1683666436,1683666440,,
AddBusiness,approve,21143,78299141,https://bize.admin.yelp.com/biz/78299141,https://admin.yelp.com/biz_edit/78299141,US,admin_user,admin_site,1683661237,1683661238,,
AddBusiness,approve,7896,78299844,https://bize.admin.yelp.com/biz/78299844,https://admin.yelp.com/biz_edit/78299844,US,admin_user,admin_site,1683670386,1683670387,,
AddBusiness,approve,19598,78298979,https://bize.admin.yelp.com/biz/78298979,https://admin.yelp.com/biz_edit/78298979,US,admin_user,admin_site,1683659496,1683659498,,
AddBusiness,approve,19598,78298980,https://bize.admin.yelp.com/biz/78298980,https://admin.yelp.com/biz_edit/78298980,US,admin_user,admin_site,1683659497,1683659501,,
AddBusiness,approve,19598,78298981,https://bize.admin.yelp.com/biz/78298981,https://admin.yelp.com/biz_edit/78298981,US,admin_user,admin_site,1683659497,1683659501,,
AddBusiness,approve,2275,78299187,https://bize.admin.yelp.com/biz/78299187,https://admin.yelp.com/biz_edit/78299187,US,admin_user,admin_site,1683661736,1683661740,,
AddBusiness,approve,2275,78299185,https://bize.admin.yelp.com/biz/78299185,https://admin.yelp.com/biz_edit/78299185,US,admin_user,admin_site,1683661734,1683661738,,
AddBusiness,approve,2275,78299186,https://bize.admin.yelp.com/biz/78299186,https://admin.yelp.com/biz_edit/78299186,US,admin_user,admin_site,1683661735,1683661736,,
AddBusiness,approve,19598,78299023,https://bize.admin.yelp.com/biz/78299023,https://admin.yelp.com/biz_edit/78299023,US,admin_user,admin_site,1683659747,1683659751,,
AddBusiness,approve,1199,78299721,https://bize.admin.yelp.com/biz/78299721,https://admin.yelp.com/biz_edit/78299721,US,admin_user,admin_site,1683668892,1683668897,,
AddBusiness,approve,21143,78299242,https://bize.admin.yelp.com/biz/78299242,https://admin.yelp.com/biz_edit/78299242,US,admin_user,admin_site,1683662547,1683662548,,
