attribute,action_taken,moderator_id,business_id,BizE_link,Admin_link,biz_country,source_type,source_via,time_created,time_acted,time_created_readable,time_acted_readable
AddBusiness,approve,22053,78308552,https://bize.admin.yelp.com/biz/78308552,https://admin.yelp.com/biz_edit/78308552,US,logged_out_user,biz_site,1683823980,1683831221,,
AddBusiness,approve,21006,78307987,https://bize.admin.yelp.com/biz/78307987,https://admin.yelp.com/biz_edit/78307987,US,logged_out_user,biz_site,1683817186,1683820535,,
AddBusiness,approve,15152,78308783,https://bize.admin.yelp.com/biz/78308783,https://admin.yelp.com/biz_edit/78308783,US,user,main_site,1683826771,1683826845,,
AddBusiness,approve,9077,78307911,https://bize.admin.yelp.com/biz/78307911,https://admin.yelp.com/biz_edit/78307911,US,logged_out_user,biz_site,1683815885,1683817552,,
AddBusiness,approve,7633,78308122,https://bize.admin.yelp.com/biz/78308122,https://admin.yelp.com/biz_edit/78308122,US,user,main_site,1683818743,1683819296,,
AddBusiness,approve,7633,78308617,https://bize.admin.yelp.com/biz/78308617,https://admin.yelp.com/biz_edit/78308617,US,logged_out_user,biz_site,1683824805,1683826771,,
AddBusiness,reject,21063,78308439,https://bize.admin.yelp.com/biz/78308439,https://admin.yelp.com/biz_edit/78308439,US,user,main_site,1683822203,1683823265,,
AddBusiness,approve,15152,78308790,https://bize.admin.yelp.com/biz/78308790,https://admin.yelp.com/biz_edit/78308790,US,user,main_site,1683826838,1683826871,,
AddBusiness,approve,2260,78307778,https://bize.admin.yelp.com/biz/78307778,https://admin.yelp.com/biz_edit/78307778,US,user,main_site,1683813894,1683825209,,
AddBusiness,approve,7633,78308277,https://bize.admin.yelp.com/biz/78308277,https://admin.yelp.com/biz_edit/78308277,US,user,main_site,1683820453,1683821493,,
AddBusiness,approve,8754,78305365,https://bize.admin.yelp.com/biz/78305365,https://admin.yelp.com/biz_edit/78305365,US,logged_out_user,biz_site,1683759717,1683827378,,
AddBusiness,reject,21015,78308528,https://bize.admin.yelp.com/biz/78308528,https://admin.yelp.com/biz_edit/78308528,US,user,main_site,1683823668,1683825539,,
AddBusiness,approve,21006,78308616,https://bize.admin.yelp.com/biz/78308616,https://admin.yelp.com/biz_edit/78308616,US,logged_out_user,biz_site,1683824779,1683825952,,
AddBusiness,approve,21807,78304257,https://bize.admin.yelp.com/biz/78304257,https://admin.yelp.com/biz_edit/78304257,US,logged_out_user,biz_site,1683746709,1683830138,,
AddBusiness,approve,8754,78308984,https://bize.admin.yelp.com/biz/78308984,https://admin.yelp.com/biz_edit/78308984,US,logged_out_user,biz_site,1683829222,1683830159,,
AddBusiness,approve,3047,78308143,https://bize.admin.yelp.com/biz/78308143,https://admin.yelp.com/biz_edit/78308143,US,user,main_site,1683819036,1683819079,,
AddBusiness,approve,7633,78308508,https://bize.admin.yelp.com/biz/78308508,https://admin.yelp.com/biz_edit/78308508,US,logged_out_user,biz_site,1683823271,1683825593,,
AddBusiness,approve,3047,78308140,https://bize.admin.yelp.com/biz/78308140,https://admin.yelp.com/biz_edit/78308140,US,user,main_site,1683818994,1683819062,,
AddBusiness,approve,7633,78308452,https://bize.admin.yelp.com/biz/78308452,https://admin.yelp.com/biz_edit/78308452,US,logged_out_user,biz_site,1683822470,1683824767,,
AddBusiness,approve,22054,78307754,https://bize.admin.yelp.com/biz/78307754,https://admin.yelp.com/biz_edit/78307754,US,logged_out_user,biz_site,1683813518,1683821769,,
AddBusiness,approve,19898,78307910,https://bize.admin.yelp.com/biz/78307910,https://admin.yelp.com/biz_edit/78307910,US,logged_out_user,biz_site,1683815882,1683817499,,
AddBusiness,approve,7633,78308954,https://bize.admin.yelp.com/biz/78308954,https://admin.yelp.com/biz_edit/78308954,US,user,main_site,1683828785,1683829110,,
AddBusiness,approve,15152,78308794,https://bize.admin.yelp.com/biz/78308794,https://admin.yelp.com/biz_edit/78308794,US,user,main_site,1683826921,1683826969,,
AddBusiness,approve,8754,78308291,https://bize.admin.yelp.com/biz/78308291,https://admin.yelp.com/biz_edit/78308291,US,logged_out_user,biz_site,1683820700,1683824703,,
